timestamp,backend,qubit_id,T1_us,T2_us,sx_error,x_error,cz_error,readout_error,t_sx_ns,t_x_ns,t_cz_ns
2026-04-09,ibm_fez,10,199.1615,115.1846,0.00027139,0.00027139,0.01000587,0.00598145,24.0,24.0,68.0
2026-04-09,ibm_fez,11,106.6418,70.2254,0.00224585,0.00224585,0.00816848,0.06872559,24.0,24.0,68.0
2026-04-09,ibm_fez,12,74.9914,76.3252,0.00033625,0.00033625,0.00549479,0.02600098,24.0,24.0,68.0
2026-04-09,ibm_fez,13,324.3253,190.3205,0.00024921,0.00024921,0.00185054,0.0168457,24.0,24.0,68.0
2026-04-09,ibm_fez,14,201.9062,62.0815,0.00021221,0.00021221,0.00151672,0.00646973,24.0,24.0,68.0
2026-04-09,ibm_fez,15,189.4875,151.0736,0.00014675,0.00014675,,0.02001953,24.0,24.0,
2026-04-09,ibm_fez,16,104.8149,80.645,0.00028693,0.00028693,,0.00793457,24.0,24.0,
2026-04-09,ibm_fez,17,67.3738,70.9898,0.0001903,0.0001903,,0.01831055,24.0,24.0,
2026-04-09,ibm_fez,18,157.8543,79.6153,0.00041349,0.00041349,,0.00720215,24.0,24.0,
2026-04-09,ibm_fez,19,151.2861,140.6909,0.00044465,0.00044465,,0.01513672,24.0,24.0,
2026-04-08,ibm_fez,10,220.2305,129.0386,0.00027139,0.00027139,0.00560557,0.00744629,24.0,24.0,68.0
2026-04-08,ibm_fez,11,106.6418,70.2254,0.00224585,0.00224585,0.0041067,0.06286621,24.0,24.0,68.0
2026-04-08,ibm_fez,12,67.1839,69.0165,0.00033625,0.00033625,0.00522438,0.02368164,24.0,24.0,68.0
2026-04-08,ibm_fez,13,312.4223,180.4798,0.00024921,0.00024921,0.00184962,0.0135498,24.0,24.0,68.0
2026-04-08,ibm_fez,14,232.8637,56.3962,0.00021221,0.00021221,0.0020088,0.00524902,24.0,24.0,68.0
2026-04-08,ibm_fez,15,186.3425,138.7198,0.00014675,0.00014675,,0.02844238,24.0,24.0,
2026-04-08,ibm_fez,16,80.5314,78.8938,0.00028693,0.00028693,,0.00537109,24.0,24.0,
2026-04-08,ibm_fez,17,84.4315,77.5974,0.0001903,0.0001903,,0.01489258,24.0,24.0,
2026-04-08,ibm_fez,18,107.1673,61.573,0.00041349,0.00041349,,0.00634766,24.0,24.0,
2026-04-08,ibm_fez,19,196.9082,169.7783,0.00044465,0.00044465,,0.00866699,24.0,24.0,
2026-04-07,ibm_fez,10,240.035,112.5034,0.00015831,0.00015831,0.00641243,0.00732422,24.0,24.0,68.0
2026-04-07,ibm_fez,11,76.6803,50.4821,0.0022836,0.0022836,0.00406246,0.07983398,24.0,24.0,68.0
2026-04-07,ibm_fez,12,79.7959,84.1487,0.00033123,0.00033123,0.00370104,0.02307129,24.0,24.0,68.0
2026-04-07,ibm_fez,13,337.6328,180.7245,0.00043287,0.00043287,0.00189627,0.09448242,24.0,24.0,68.0
2026-04-07,ibm_fez,14,187.0824,55.6138,0.00026979,0.00026979,0.00180786,0.00646973,24.0,24.0,68.0
2026-04-07,ibm_fez,15,369.0461,141.7633,0.00021997,0.00021997,,0.01818848,24.0,24.0,
2026-04-07,ibm_fez,16,188.1002,144.8392,0.0003558,0.0003558,,0.00585938,24.0,24.0,
2026-04-07,ibm_fez,17,153.3459,90.4567,0.00017947,0.00017947,,0.01306152,24.0,24.0,
2026-04-07,ibm_fez,18,94.1317,65.6273,0.00037127,0.00037127,,0.00598145,24.0,24.0,
2026-04-07,ibm_fez,19,144.5267,116.4513,0.00049817,0.00049817,,0.00854492,24.0,24.0,
2026-04-06,ibm_fez,10,169.0601,123.4695,0.00018388,0.00018388,0.00971684,0.00976562,24.0,24.0,68.0
2026-04-06,ibm_fez,11,124.0987,6.0123,0.00256133,0.00256133,0.00791073,0.05847168,24.0,24.0,68.0
2026-04-06,ibm_fez,12,75.165,75.8301,0.00041063,0.00041063,0.00339427,0.03063965,24.0,24.0,68.0
2026-04-06,ibm_fez,13,252.3291,168.2654,0.00043287,0.00043287,0.00265744,0.02294922,24.0,24.0,68.0
2026-04-06,ibm_fez,14,124.3535,51.9922,0.00018357,0.00018357,0.00233203,0.00561523,24.0,24.0,68.0
2026-04-06,ibm_fez,15,216.75,146.7666,0.00016395,0.00016395,,0.0222168,24.0,24.0,
2026-04-06,ibm_fez,16,151.8676,119.2542,0.00043419,0.00043419,,0.00598145,24.0,24.0,
2026-04-06,ibm_fez,17,191.1739,68.3597,0.00025473,0.00025473,,0.01416016,24.0,24.0,
2026-04-06,ibm_fez,18,177.9059,8.1356,0.0003174,0.0003174,,0.00744629,24.0,24.0,
2026-04-06,ibm_fez,19,143.7755,133.8502,0.00044421,0.00044421,,0.01086426,24.0,24.0,
2026-04-05,ibm_fez,10,186.9055,112.7203,0.00024796,0.00024796,0.01103354,0.00598145,24.0,24.0,68.0
2026-04-05,ibm_fez,11,124.0987,50.8887,0.00235395,0.00235395,0.00819489,0.07214355,24.0,24.0,68.0
