timestamp,backend,qubit_id,T1_us,T2_us,sx_error,x_error,cz_error,readout_error,t_sx_ns,t_x_ns,t_cz_ns
2025-09-19,ibm_marrakesh,0,286.0528,69.7254,0.00052547,0.00052547,0.00123817,0.00927734,36.0,36.0,68.0
2025-09-19,ibm_marrakesh,1,141.8667,134.2502,0.00021265,0.00021265,0.00121875,0.00646973,36.0,36.0,68.0
2025-09-19,ibm_marrakesh,2,309.0617,422.6268,0.00011968,0.00011968,0.00158638,0.0032959,36.0,36.0,68.0
2025-09-19,ibm_marrakesh,3,341.2433,342.2043,0.00022745,0.00022745,0.00184077,0.00463867,36.0,36.0,80.0
2025-09-19,ibm_marrakesh,4,178.5549,115.2723,0.000246,0.000246,0.00168133,0.01733398,36.0,36.0,68.0
2025-09-19,ibm_marrakesh,5,246.8669,134.2199,0.00019351,0.00019351,0.00111869,0.00378418,36.0,36.0,68.0
2025-09-19,ibm_marrakesh,6,296.2779,95.1251,0.00017487,0.00017487,0.00162685,0.00341797,36.0,36.0,68.0
2025-09-19,ibm_marrakesh,7,294.5829,91.0611,0.00019159,0.00019159,0.00208184,0.01733398,36.0,36.0,80.0
2025-09-19,ibm_marrakesh,8,314.6645,113.0996,0.00017489,0.00017489,0.0021827,0.00634766,36.0,36.0,68.0
2025-09-19,ibm_marrakesh,9,151.9386,135.8041,0.00020806,0.00020806,,0.01843262,36.0,36.0,
2025-09-18,ibm_marrakesh,0,322.7333,59.9712,0.00052547,0.00052547,0.00144674,0.01257324,36.0,36.0,68.0
2025-09-18,ibm_marrakesh,1,149.2033,134.7464,0.00021265,0.00021265,0.00121875,0.00500488,36.0,36.0,68.0
2025-09-18,ibm_marrakesh,2,359.3894,593.866,0.00011968,0.00011968,0.00129036,0.00720215,36.0,36.0,68.0
2025-09-18,ibm_marrakesh,3,136.7895,139.7011,0.00022745,0.00022745,0.00198929,0.00512695,36.0,36.0,80.0
2025-09-18,ibm_marrakesh,4,176.3561,207.7195,0.000246,0.000246,0.00178196,0.01574707,36.0,36.0,68.0
2025-09-18,ibm_marrakesh,5,238.0749,263.9537,0.00019351,0.00019351,0.00123157,0.00305176,36.0,36.0,68.0
2025-09-18,ibm_marrakesh,6,287.917,293.9559,0.00017487,0.00017487,0.00164178,0.00476074,36.0,36.0,68.0
2025-09-18,ibm_marrakesh,7,331.8231,135.1039,0.00019159,0.00019159,0.0021691,0.01733398,36.0,36.0,80.0
2025-09-18,ibm_marrakesh,8,258.7979,158.6386,0.00017489,0.00017489,0.00300622,0.00390625,36.0,36.0,68.0
2025-09-18,ibm_marrakesh,9,222.2604,281.1996,0.00020806,0.00020806,,0.03625488,36.0,36.0,
2025-09-17,ibm_marrakesh,0,190.084,91.869,0.00027024,0.00027024,0.00186243,0.00244141,36.0,36.0,68.0
2025-09-17,ibm_marrakesh,1,128.566,131.7387,0.00014706,0.00014706,0.00101304,0.00708008,36.0,36.0,68.0
2025-09-17,ibm_marrakesh,2,145.13,195.2449,9.261e-05,9.261e-05,0.00139977,0.00317383,36.0,36.0,68.0
2025-09-17,ibm_marrakesh,3,302.4486,267.4071,0.00025508,0.00025508,0.00232476,0.00317383,36.0,36.0,80.0
2025-09-17,ibm_marrakesh,4,234.3561,163.4686,0.00024741,0.00024741,0.001902,0.00927734,36.0,36.0,68.0
2025-09-17,ibm_marrakesh,5,247.1077,136.8016,0.0001022,0.0001022,0.00135912,0.00708008,36.0,36.0,68.0
2025-09-17,ibm_marrakesh,6,338.7087,217.0339,0.00015676,0.00015676,0.00125226,0.00170898,36.0,36.0,68.0
2025-09-17,ibm_marrakesh,7,313.9192,109.2842,0.00034309,0.00034309,0.00213274,0.00805664,36.0,36.0,80.0
2025-09-17,ibm_marrakesh,8,177.9451,100.2242,0.00026125,0.00026125,0.00253223,0.00341797,36.0,36.0,68.0
2025-09-17,ibm_marrakesh,9,166.4076,179.45,0.00015554,0.00015554,,0.03222656,36.0,36.0,
2025-09-16,ibm_marrakesh,0,402.2811,57.0752,0.00037988,0.00037988,0.02410057,0.00598145,36.0,36.0,68.0
2025-09-16,ibm_marrakesh,1,95.085,94.4972,0.00021326,0.00021326,0.00101304,0.00415039,36.0,36.0,68.0
2025-09-16,ibm_marrakesh,2,307.3842,474.8296,0.00041418,0.00041418,0.00127298,0.00695801,36.0,36.0,68.0
2025-09-16,ibm_marrakesh,3,257.0289,253.1562,0.0006001,0.0006001,0.00157266,0.00720215,36.0,36.0,80.0
2025-09-16,ibm_marrakesh,4,176.9242,78.3483,0.00036977,0.00036977,0.0015935,0.01416016,36.0,36.0,68.0
2025-09-16,ibm_marrakesh,5,341.7231,114.7274,0.00011986,0.00011986,0.00095458,0.00402832,36.0,36.0,68.0
2025-09-16,ibm_marrakesh,6,305.7732,166.7379,0.0005025,0.0005025,0.00086999,0.01098633,36.0,36.0,68.0
2025-09-16,ibm_marrakesh,7,283.7504,67.8948,0.0002183,0.0002183,0.00285491,0.01391602,36.0,36.0,80.0
2025-09-16,ibm_marrakesh,8,281.6838,85.0953,0.00043567,0.00043567,0.00293163,0.00463867,36.0,36.0,68.0
2025-09-16,ibm_marrakesh,9,110.8915,85.9715,0.00019633,0.00019633,,0.015625,36.0,36.0,
2025-09-15,ibm_marrakesh,0,402.2811,57.0752,0.00020614,0.00020614,0.00160889,0.0123291,36.0,36.0,68.0
2025-09-15,ibm_marrakesh,1,95.085,94.4972,0.00021326,0.00021326,0.00115695,0.00476074,36.0,36.0,68.0
2025-09-15,ibm_marrakesh,2,307.3842,474.8296,0.00010569,0.00010569,0.00507341,0.00537109,36.0,36.0,68.0
2025-09-15,ibm_marrakesh,3,257.0289,253.1562,0.00210574,0.00210574,0.00629679,0.00952148,36.0,36.0,80.0
2025-09-15,ibm_marrakesh,4,176.9242,78.3483,0.00050332,0.00050332,0.00174276,0.02502441,36.0,36.0,68.0
2025-09-15,ibm_marrakesh,5,341.7231,114.7274,0.00017077,0.00017077,0.00109457,0.0057373,36.0,36.0,68.0
2025-09-15,ibm_marrakesh,6,305.7732,166.7379,0.00022122,0.00022122,0.00125047,0.0045166,36.0,36.0,68.0
2025-09-15,ibm_marrakesh,7,283.7504,67.8948,0.0002529,0.0002529,0.0026197,0.01098633,36.0,36.0,80.0
2025-09-15,ibm_marrakesh,8,281.6838,85.0953,0.00026515,0.00026515,0.00189205,0.00292969,36.0,36.0,68.0
2025-09-15,ibm_marrakesh,9,110.8915,85.9715,0.00011896,0.00011896,,0.02075195,36.0,36.0,
2025-09-14,ibm_marrakesh,0,253.1066,63.8509,0.00020614,0.00020614,0.00160889,0.01220703,36.0,36.0,68.0
2025-09-14,ibm_marrakesh,1,195.498,203.0535,0.00021326,0.00021326,0.00115695,0.00585938,36.0,36.0,68.0
2025-09-14,ibm_marrakesh,2,351.1459,464.0188,0.00010569,0.00010569,0.00507341,0.00280762,36.0,36.0,68.0
2025-09-14,ibm_marrakesh,3,343.1002,351.826,0.00210574,0.00210574,0.00629679,0.00512695,36.0,36.0,80.0
2025-09-14,ibm_marrakesh,4,236.5289,260.7199,0.00050332,0.00050332,0.00174276,0.02172852,36.0,36.0,68.0
2025-09-14,ibm_marrakesh,5,315.2798,276.8102,0.00017077,0.00017077,0.00109457,0.00805664,36.0,36.0,68.0
2025-09-14,ibm_marrakesh,6,283.8762,290.0636,0.00022122,0.00022122,0.00125047,0.0032959,36.0,36.0,68.0
2025-09-14,ibm_marrakesh,7,347.022,124.5797,0.0002529,0.0002529,0.0026197,0.02246094,36.0,36.0,80.0
2025-09-14,ibm_marrakesh,8,194.6718,126.4378,0.00026515,0.00026515,0.00189205,0.00354004,36.0,36.0,68.0
2025-09-14,ibm_marrakesh,9,212.2185,258.8267,0.00011896,0.00011896,,0.0369873,36.0,36.0,
2025-09-13,ibm_marrakesh,0,179.4941,50.1275,0.00045677,0.00045677,0.00129209,0.00878906,36.0,36.0,68.0
2025-09-13,ibm_marrakesh,1,159.1656,161.7778,0.00018727,0.00018727,0.00115695,0.00354004,36.0,36.0,68.0
2025-09-13,ibm_marrakesh,2,254.2985,333.7425,0.00020162,0.00020162,0.0125971,0.00158691,36.0,36.0,68.0
2025-09-13,ibm_marrakesh,3,290.1622,289.4796,0.0019026,0.0019026,0.01709765,0.00915527,36.0,36.0,80.0
2025-09-13,ibm_marrakesh,4,202.7419,163.0277,0.00030897,0.00030897,0.00220597,0.01220703,36.0,36.0,68.0
2025-09-13,ibm_marrakesh,5,299.2339,215.6749,0.00019486,0.00019486,0.00143296,0.00598145,36.0,36.0,68.0
2025-09-13,ibm_marrakesh,6,182.303,187.1902,0.00017976,0.00017976,0.00165301,0.00683594,36.0,36.0,68.0
2025-09-13,ibm_marrakesh,7,216.3635,84.9916,0.00020379,0.00020379,0.00236561,0.01098633,36.0,36.0,80.0
2025-09-13,ibm_marrakesh,8,291.4071,123.3442,0.00019728,0.00019728,0.00205048,0.00415039,36.0,36.0,68.0
2025-09-13,ibm_marrakesh,9,224.5665,216.9422,0.00018422,0.00018422,,0.03735352,36.0,36.0,
2025-09-12,ibm_marrakesh,0,337.9376,64.6236,0.00045677,0.00045677,0.00151031,0.00341797,36.0,36.0,68.0
2025-09-12,ibm_marrakesh,1,227.1373,184.4865,0.00018727,0.00018727,0.00137344,0.00524902,36.0,36.0,68.0
