timestamp,F_bell,F_gate,F_coherence,mean_fidelity,mlp_prob,mlp_uncertainty,mlp_verdict,threshold_verdict,ibm_last_calibration
2026-04-15 21:59:00 UTC,0.988,0.983,0.99,0.987,1e-05,1e-05,STABLE,STABLE,2026-04-15 17:24:23 UTC
2026-04-15 22:14:11 UTC,0.983,0.987,0.99,0.986667,3e-06,2e-06,STABLE,STABLE,2026-04-15 17:24:23 UTC
2026-04-15 22:29:23 UTC,0.99,0.98,0.992,0.987333,5e-06,6e-06,STABLE,STABLE,2026-04-15 17:24:23 UTC
2026-04-15 22:44:37 UTC,0.987,0.961,0.991,0.979667,0.000884,0.001225,STABLE,DRIFTED,2026-04-15 17:24:23 UTC
2026-04-15 23:04:35 UTC,0.974,0.971,0.988,0.977667,0.000195,0.000178,STABLE,DRIFTED,2026-04-15 17:24:23 UTC
2026-04-15 23:23:20 UTC,0.982,0.975,0.984,0.980333,0.000461,0.000316,STABLE,STABLE,2026-04-15 17:24:23 UTC
2026-04-15 23:38:33 UTC,0.979,0.979,0.991,0.983,3e-06,3e-06,STABLE,STABLE,2026-04-15 17:24:23 UTC
2026-04-15 23:53:45 UTC,0.982,0.973,0.979,0.978,0.118717,0.054935,STABLE,DRIFTED,2026-04-15 17:24:23 UTC
2026-04-16 00:09:02 UTC,0.988,0.986,0.986,0.986667,4.5e-05,4.9e-05,STABLE,STABLE,2026-04-15 17:24:23 UTC
2026-04-16 00:24:18 UTC,0.989,0.977,0.988,0.984667,9.7e-05,0.000123,STABLE,DRIFTED,2026-04-15 17:24:23 UTC
2026-04-16 00:39:29 UTC,0.984,0.969,0.98,0.977667,0.027692,0.02573,STABLE,DRIFTED,2026-04-15 17:24:23 UTC
2026-04-16 00:54:42 UTC,0.98,0.975,0.967,0.974,0.094413,0.041293,STABLE,DRIFTED,2026-04-15 17:24:23 UTC
2026-04-16 01:09:54 UTC,0.987,0.987,0.983,0.985667,1.4e-05,2.4e-05,STABLE,STABLE,2026-04-15 17:24:23 UTC
2026-04-16 01:25:05 UTC,0.989,0.981,0.985,0.985,0.4356,0.4576,STABLE,STABLE,2026-04-15 17:24:23 UTC
