shots,architecture,parameter,r2
1000,superconducting,T1,0.717048
1000,superconducting,T2,0.677568
1000,superconducting,delta_omega,0.960134
1000,superconducting,epsilon_sx,0.896676
1000,trapped_ion,T1,0.968269
1000,trapped_ion,T2,0.830707
1000,trapped_ion,delta_omega,0.986427
1000,trapped_ion,epsilon_sx,0.855321
1000,neutral_atom,T1,-0.254096
1000,neutral_atom,T2,0.696540
1000,neutral_atom,delta_omega,0.941743
1000,neutral_atom,epsilon_sx,0.775629
1100,superconducting,T1,0.758058
1100,superconducting,T2,0.772724
1100,superconducting,delta_omega,0.968772
1100,superconducting,epsilon_sx,0.886760
1100,trapped_ion,T1,0.954260
1100,trapped_ion,T2,0.817020
1100,trapped_ion,delta_omega,0.977546
1100,trapped_ion,epsilon_sx,0.872124
1100,neutral_atom,T1,-5.613456
1100,neutral_atom,T2,0.797799
1100,neutral_atom,delta_omega,0.930661
1100,neutral_atom,epsilon_sx,0.827228
1200,superconducting,T1,0.734608
1200,superconducting,T2,0.777090
1200,superconducting,delta_omega,0.974728
1200,superconducting,epsilon_sx,0.876030
1200,trapped_ion,T1,0.965493
1200,trapped_ion,T2,0.817833
1200,trapped_ion,delta_omega,0.988713
1200,trapped_ion,epsilon_sx,0.908410
1200,neutral_atom,T1,-0.903187
1200,neutral_atom,T2,0.749650
1200,neutral_atom,delta_omega,0.939899
1200,neutral_atom,epsilon_sx,0.844816
1300,superconducting,T1,0.828461
1300,superconducting,T2,0.770035
1300,superconducting,delta_omega,0.972353
1300,superconducting,epsilon_sx,0.900584
1300,trapped_ion,T1,0.965210
1300,trapped_ion,T2,0.900823
1300,trapped_ion,delta_omega,0.989954
1300,trapped_ion,epsilon_sx,0.932327
1300,neutral_atom,T1,-3.113084
1300,neutral_atom,T2,0.743262
1300,neutral_atom,delta_omega,0.953624
1300,neutral_atom,epsilon_sx,0.791134
1400,superconducting,T1,0.840535
1400,superconducting,T2,0.820294
1400,superconducting,delta_omega,0.974904
1400,superconducting,epsilon_sx,0.870942
1400,trapped_ion,T1,0.984899
1400,trapped_ion,T2,0.874133
1400,trapped_ion,delta_omega,0.976820
1400,trapped_ion,epsilon_sx,0.913341
1400,neutral_atom,T1,0.460724
1400,neutral_atom,T2,0.775135
1400,neutral_atom,delta_omega,0.920606
1400,neutral_atom,epsilon_sx,0.838792
1500,superconducting,T1,0.839558
1500,superconducting,T2,0.805380
1500,superconducting,delta_omega,0.978253
1500,superconducting,epsilon_sx,0.949294
1500,trapped_ion,T1,0.977056
1500,trapped_ion,T2,0.882457
1500,trapped_ion,delta_omega,0.986557
1500,trapped_ion,epsilon_sx,0.902159
1500,neutral_atom,T1,-7.137034
1500,neutral_atom,T2,0.808502
1500,neutral_atom,delta_omega,0.934105
1500,neutral_atom,epsilon_sx,0.859208
1600,superconducting,T1,0.754473
1600,superconducting,T2,0.837782
1600,superconducting,delta_omega,0.982350
1600,superconducting,epsilon_sx,0.921373
1600,trapped_ion,T1,0.962734
1600,trapped_ion,T2,0.921080
1600,trapped_ion,delta_omega,0.978119
1600,trapped_ion,epsilon_sx,0.915638
1600,neutral_atom,T1,0.095120
1600,neutral_atom,T2,0.846238
1600,neutral_atom,delta_omega,0.932071
1600,neutral_atom,epsilon_sx,0.876613
1700,superconducting,T1,0.829520
1700,superconducting,T2,0.832637
1700,superconducting,delta_omega,0.976898
1700,superconducting,epsilon_sx,0.915286
1700,trapped_ion,T1,0.963318
1700,trapped_ion,T2,0.892763
1700,trapped_ion,delta_omega,0.984739
1700,trapped_ion,epsilon_sx,0.943895
1700,neutral_atom,T1,0.788388
1700,neutral_atom,T2,0.831613
1700,neutral_atom,delta_omega,0.928840
1700,neutral_atom,epsilon_sx,0.889150
1800,superconducting,T1,0.826817
1800,superconducting,T2,0.870471
1800,superconducting,delta_omega,0.985323
1800,superconducting,epsilon_sx,0.938593
1800,trapped_ion,T1,0.971117
1800,trapped_ion,T2,0.932203
1800,trapped_ion,delta_omega,0.991666
1800,trapped_ion,epsilon_sx,0.936822
1800,neutral_atom,T1,-3.001038
1800,neutral_atom,T2,0.831410
1800,neutral_atom,delta_omega,0.946457
1800,neutral_atom,epsilon_sx,0.883174
1900,superconducting,T1,0.850184
1900,superconducting,T2,0.838181
1900,superconducting,delta_omega,0.984137
1900,superconducting,epsilon_sx,0.924362
1900,trapped_ion,T1,0.986573
1900,trapped_ion,T2,0.921081
1900,trapped_ion,delta_omega,0.982036
1900,trapped_ion,epsilon_sx,0.903419
1900,neutral_atom,T1,0.289926
1900,neutral_atom,T2,0.882563
1900,neutral_atom,delta_omega,0.945327
1900,neutral_atom,epsilon_sx,0.861037
2000,superconducting,T1,0.846124
2000,superconducting,T2,0.818691
2000,superconducting,delta_omega,0.986118
2000,superconducting,epsilon_sx,0.916979
2000,trapped_ion,T1,0.969343
2000,trapped_ion,T2,0.927046
2000,trapped_ion,delta_omega,0.987688
2000,trapped_ion,epsilon_sx,0.925569
2000,neutral_atom,T1,0.789628
2000,neutral_atom,T2,0.873984
2000,neutral_atom,delta_omega,0.935173
2000,neutral_atom,epsilon_sx,0.891900
2100,superconducting,T1,0.824770
2100,superconducting,T2,0.856709
2100,superconducting,delta_omega,0.985451
2100,superconducting,epsilon_sx,0.926237
2100,trapped_ion,T1,0.974061
2100,trapped_ion,T2,0.936574
2100,trapped_ion,delta_omega,0.993290
2100,trapped_ion,epsilon_sx,0.936336
2100,neutral_atom,T1,0.663064
2100,neutral_atom,T2,0.898407
2100,neutral_atom,delta_omega,0.944187
2100,neutral_atom,epsilon_sx,0.897527
2200,superconducting,T1,0.862451
2200,superconducting,T2,0.870132
2200,superconducting,delta_omega,0.972987
2200,superconducting,epsilon_sx,0.922972
2200,trapped_ion,T1,0.972141
2200,trapped_ion,T2,0.934905
2200,trapped_ion,delta_omega,0.992890
2200,trapped_ion,epsilon_sx,0.933455
2200,neutral_atom,T1,0.281813
2200,neutral_atom,T2,0.859720
2200,neutral_atom,delta_omega,0.947544
2200,neutral_atom,epsilon_sx,0.885444
2300,superconducting,T1,0.813676
2300,superconducting,T2,0.868557
2300,superconducting,delta_omega,0.982009
2300,superconducting,epsilon_sx,0.900431
2300,trapped_ion,T1,0.982061
2300,trapped_ion,T2,0.922016
2300,trapped_ion,delta_omega,0.988680
2300,trapped_ion,epsilon_sx,0.929380
2300,neutral_atom,T1,0.399380
2300,neutral_atom,T2,0.866739
2300,neutral_atom,delta_omega,0.948676
2300,neutral_atom,epsilon_sx,0.909884
2400,superconducting,T1,0.867906
2400,superconducting,T2,0.880056
2400,superconducting,delta_omega,0.984876
2400,superconducting,epsilon_sx,0.928409
2400,trapped_ion,T1,0.986721
2400,trapped_ion,T2,0.941101
2400,trapped_ion,delta_omega,0.990841
2400,trapped_ion,epsilon_sx,0.958208
2400,neutral_atom,T1,0.206255
2400,neutral_atom,T2,0.897076
2400,neutral_atom,delta_omega,0.947902
2400,neutral_atom,epsilon_sx,0.901733
2500,superconducting,T1,0.889205
2500,superconducting,T2,0.864967
2500,superconducting,delta_omega,0.977455
2500,superconducting,epsilon_sx,0.938737
2500,trapped_ion,T1,0.990157
2500,trapped_ion,T2,0.930665
2500,trapped_ion,delta_omega,0.986605
2500,trapped_ion,epsilon_sx,0.943594
2500,neutral_atom,T1,0.644927
2500,neutral_atom,T2,0.900793
2500,neutral_atom,delta_omega,0.914872
2500,neutral_atom,epsilon_sx,0.925839
2600,superconducting,T1,0.874138
2600,superconducting,T2,0.888633
2600,superconducting,delta_omega,0.977936
2600,superconducting,epsilon_sx,0.937534
2600,trapped_ion,T1,0.982661
2600,trapped_ion,T2,0.933007
2600,trapped_ion,delta_omega,0.983337
2600,trapped_ion,epsilon_sx,0.960026
2600,neutral_atom,T1,0.821173
2600,neutral_atom,T2,0.864557
2600,neutral_atom,delta_omega,0.933519
2600,neutral_atom,epsilon_sx,0.925950
2700,superconducting,T1,0.881900
2700,superconducting,T2,0.866618
2700,superconducting,delta_omega,0.986739
2700,superconducting,epsilon_sx,0.953324
2700,trapped_ion,T1,0.987169
2700,trapped_ion,T2,0.952822
2700,trapped_ion,delta_omega,0.986566
2700,trapped_ion,epsilon_sx,0.950793
2700,neutral_atom,T1,0.816375
2700,neutral_atom,T2,0.885943
2700,neutral_atom,delta_omega,0.937882
2700,neutral_atom,epsilon_sx,0.904104
2800,superconducting,T1,0.864183
2800,superconducting,T2,0.855116
2800,superconducting,delta_omega,0.986907
2800,superconducting,epsilon_sx,0.954251
2800,trapped_ion,T1,0.984948
2800,trapped_ion,T2,0.951593
2800,trapped_ion,delta_omega,0.992947
2800,trapped_ion,epsilon_sx,0.953827
2800,neutral_atom,T1,0.912066
2800,neutral_atom,T2,0.893611
2800,neutral_atom,delta_omega,0.952318
2800,neutral_atom,epsilon_sx,0.905656
2900,superconducting,T1,0.910969
2900,superconducting,T2,0.858401
2900,superconducting,delta_omega,0.989994
2900,superconducting,epsilon_sx,0.939038
2900,trapped_ion,T1,0.989731
2900,trapped_ion,T2,0.948976
2900,trapped_ion,delta_omega,0.991570
2900,trapped_ion,epsilon_sx,0.959030
2900,neutral_atom,T1,0.720938
2900,neutral_atom,T2,0.919885
2900,neutral_atom,delta_omega,0.942933
2900,neutral_atom,epsilon_sx,0.885986
3000,superconducting,T1,0.839506
3000,superconducting,T2,0.839881
3000,superconducting,delta_omega,0.991010
3000,superconducting,epsilon_sx,0.953944
3000,trapped_ion,T1,0.983847
3000,trapped_ion,T2,0.947231
3000,trapped_ion,delta_omega,0.994834
3000,trapped_ion,epsilon_sx,0.957392
3000,neutral_atom,T1,0.506853
3000,neutral_atom,T2,0.914833
3000,neutral_atom,delta_omega,0.943078
3000,neutral_atom,epsilon_sx,0.928201
3100,superconducting,T1,0.862109
3100,superconducting,T2,0.841358
3100,superconducting,delta_omega,0.988390
3100,superconducting,epsilon_sx,0.961563
3100,trapped_ion,T1,0.987291
3100,trapped_ion,T2,0.960829
3100,trapped_ion,delta_omega,0.992735
3100,trapped_ion,epsilon_sx,0.953757
3100,neutral_atom,T1,0.740709
3100,neutral_atom,T2,0.919740
3100,neutral_atom,delta_omega,0.948049
3100,neutral_atom,epsilon_sx,0.933083
3200,superconducting,T1,0.897636
3200,superconducting,T2,0.876290
3200,superconducting,delta_omega,0.989740
3200,superconducting,epsilon_sx,0.959239
3200,trapped_ion,T1,0.992730
3200,trapped_ion,T2,0.957797
3200,trapped_ion,delta_omega,0.984828
3200,trapped_ion,epsilon_sx,0.957086
3200,neutral_atom,T1,-0.518142
3200,neutral_atom,T2,0.930471
3200,neutral_atom,delta_omega,0.920237
3200,neutral_atom,epsilon_sx,0.952414
3300,superconducting,T1,0.927083
3300,superconducting,T2,0.867735
3300,superconducting,delta_omega,0.988977
3300,superconducting,epsilon_sx,0.959214
3300,trapped_ion,T1,0.985306
3300,trapped_ion,T2,0.956697
3300,trapped_ion,delta_omega,0.986262
3300,trapped_ion,epsilon_sx,0.965114
3300,neutral_atom,T1,0.883040
3300,neutral_atom,T2,0.909434
3300,neutral_atom,delta_omega,0.963917
3300,neutral_atom,epsilon_sx,0.910738
3400,superconducting,T1,0.885385
3400,superconducting,T2,0.848111
3400,superconducting,delta_omega,0.990543
3400,superconducting,epsilon_sx,0.967600
3400,trapped_ion,T1,0.990031
3400,trapped_ion,T2,0.970070
3400,trapped_ion,delta_omega,0.987804
3400,trapped_ion,epsilon_sx,0.946288
3400,neutral_atom,T1,0.611662
3400,neutral_atom,T2,0.919086
3400,neutral_atom,delta_omega,0.955025
3400,neutral_atom,epsilon_sx,0.924554
3500,superconducting,T1,0.891609
3500,superconducting,T2,0.889155
3500,superconducting,delta_omega,0.991811
3500,superconducting,epsilon_sx,0.962877
3500,trapped_ion,T1,0.990140
3500,trapped_ion,T2,0.962177
3500,trapped_ion,delta_omega,0.989968
3500,trapped_ion,epsilon_sx,0.968247
3500,neutral_atom,T1,0.726193
3500,neutral_atom,T2,0.927422
3500,neutral_atom,delta_omega,0.939981
3500,neutral_atom,epsilon_sx,0.933505
3600,superconducting,T1,0.902487
3600,superconducting,T2,0.885633
3600,superconducting,delta_omega,0.991824
3600,superconducting,epsilon_sx,0.974503
3600,trapped_ion,T1,0.989901
3600,trapped_ion,T2,0.965322
3600,trapped_ion,delta_omega,0.984894
3600,trapped_ion,epsilon_sx,0.950506
3600,neutral_atom,T1,0.914067
3600,neutral_atom,T2,0.933212
3600,neutral_atom,delta_omega,0.936423
3600,neutral_atom,epsilon_sx,0.953584
3700,superconducting,T1,0.926421
3700,superconducting,T2,0.911676
3700,superconducting,delta_omega,0.994672
3700,superconducting,epsilon_sx,0.951398
3700,trapped_ion,T1,0.989960
3700,trapped_ion,T2,0.961731
3700,trapped_ion,delta_omega,0.989694
3700,trapped_ion,epsilon_sx,0.976500
3700,neutral_atom,T1,0.843353
3700,neutral_atom,T2,0.927756
3700,neutral_atom,delta_omega,0.943277
3700,neutral_atom,epsilon_sx,0.948787
3800,superconducting,T1,0.904065
3800,superconducting,T2,0.877723
3800,superconducting,delta_omega,0.990041
3800,superconducting,epsilon_sx,0.967093
3800,trapped_ion,T1,0.985378
3800,trapped_ion,T2,0.966051
3800,trapped_ion,delta_omega,0.993578
3800,trapped_ion,epsilon_sx,0.970380
3800,neutral_atom,T1,0.848507
3800,neutral_atom,T2,0.917099
3800,neutral_atom,delta_omega,0.934705
3800,neutral_atom,epsilon_sx,0.915683
3900,superconducting,T1,0.905802
3900,superconducting,T2,0.911362
3900,superconducting,delta_omega,0.991171
3900,superconducting,epsilon_sx,0.976487
3900,trapped_ion,T1,0.989688
3900,trapped_ion,T2,0.946868
3900,trapped_ion,delta_omega,0.987261
3900,trapped_ion,epsilon_sx,0.961656
3900,neutral_atom,T1,0.609012
3900,neutral_atom,T2,0.926803
3900,neutral_atom,delta_omega,0.933350
3900,neutral_atom,epsilon_sx,0.927887
4000,superconducting,T1,0.875669
4000,superconducting,T2,0.889698
4000,superconducting,delta_omega,0.989707
4000,superconducting,epsilon_sx,0.966136
4000,trapped_ion,T1,0.986334
4000,trapped_ion,T2,0.957531
4000,trapped_ion,delta_omega,0.985099
4000,trapped_ion,epsilon_sx,0.953016
4000,neutral_atom,T1,0.835748
4000,neutral_atom,T2,0.918310
4000,neutral_atom,delta_omega,0.948493
4000,neutral_atom,epsilon_sx,0.948416
4100,superconducting,T1,0.900444
4100,superconducting,T2,0.903558
4100,superconducting,delta_omega,0.992121
4100,superconducting,epsilon_sx,0.954300
4100,trapped_ion,T1,0.991621
4100,trapped_ion,T2,0.963430
4100,trapped_ion,delta_omega,0.991104
4100,trapped_ion,epsilon_sx,0.977862
4100,neutral_atom,T1,0.568131
4100,neutral_atom,T2,0.925064
4100,neutral_atom,delta_omega,0.943043
4100,neutral_atom,epsilon_sx,0.931966
4200,superconducting,T1,0.914894
4200,superconducting,T2,0.881156
4200,superconducting,delta_omega,0.992549
4200,superconducting,epsilon_sx,0.966937
4200,trapped_ion,T1,0.989989
4200,trapped_ion,T2,0.969438
4200,trapped_ion,delta_omega,0.992793
4200,trapped_ion,epsilon_sx,0.967422
4200,neutral_atom,T1,0.847702
4200,neutral_atom,T2,0.913283
4200,neutral_atom,delta_omega,0.946062
4200,neutral_atom,epsilon_sx,0.937472
4300,superconducting,T1,0.896245
4300,superconducting,T2,0.910119
4300,superconducting,delta_omega,0.990024
4300,superconducting,epsilon_sx,0.970221
4300,trapped_ion,T1,0.992856
4300,trapped_ion,T2,0.958743
4300,trapped_ion,delta_omega,0.992432
4300,trapped_ion,epsilon_sx,0.950525
4300,neutral_atom,T1,0.842973
4300,neutral_atom,T2,0.951297
4300,neutral_atom,delta_omega,0.952882
4300,neutral_atom,epsilon_sx,0.913845
4400,superconducting,T1,0.911883
4400,superconducting,T2,0.890070
4400,superconducting,delta_omega,0.994250
4400,superconducting,epsilon_sx,0.970869
4400,trapped_ion,T1,0.992030
4400,trapped_ion,T2,0.949799
4400,trapped_ion,delta_omega,0.987208
4400,trapped_ion,epsilon_sx,0.975389
4400,neutral_atom,T1,0.728112
4400,neutral_atom,T2,0.931491
4400,neutral_atom,delta_omega,0.943776
4400,neutral_atom,epsilon_sx,0.917610
4500,superconducting,T1,0.917235
4500,superconducting,T2,0.883679
4500,superconducting,delta_omega,0.992534
4500,superconducting,epsilon_sx,0.967249
4500,trapped_ion,T1,0.991655
4500,trapped_ion,T2,0.965704
4500,trapped_ion,delta_omega,0.990264
4500,trapped_ion,epsilon_sx,0.969974
4500,neutral_atom,T1,0.705228
4500,neutral_atom,T2,0.933730
4500,neutral_atom,delta_omega,0.949472
4500,neutral_atom,epsilon_sx,0.923243
4600,superconducting,T1,0.915827
4600,superconducting,T2,0.920688
4600,superconducting,delta_omega,0.991321
4600,superconducting,epsilon_sx,0.964752
4600,trapped_ion,T1,0.991360
4600,trapped_ion,T2,0.962627
4600,trapped_ion,delta_omega,0.994134
4600,trapped_ion,epsilon_sx,0.974129
4600,neutral_atom,T1,0.752483
4600,neutral_atom,T2,0.946668
4600,neutral_atom,delta_omega,0.933816
4600,neutral_atom,epsilon_sx,0.918667
4700,superconducting,T1,0.871652
4700,superconducting,T2,0.904813
4700,superconducting,delta_omega,0.993188
4700,superconducting,epsilon_sx,0.975435
4700,trapped_ion,T1,0.993070
4700,trapped_ion,T2,0.966930
4700,trapped_ion,delta_omega,0.992535
4700,trapped_ion,epsilon_sx,0.978151
4700,neutral_atom,T1,0.862844
4700,neutral_atom,T2,0.919802
4700,neutral_atom,delta_omega,0.939417
4700,neutral_atom,epsilon_sx,0.944020
4800,superconducting,T1,0.872868
4800,superconducting,T2,0.887952
4800,superconducting,delta_omega,0.994275
4800,superconducting,epsilon_sx,0.967871
4800,trapped_ion,T1,0.989507
4800,trapped_ion,T2,0.969234
4800,trapped_ion,delta_omega,0.991642
4800,trapped_ion,epsilon_sx,0.968270
4800,neutral_atom,T1,0.923221
4800,neutral_atom,T2,0.951407
4800,neutral_atom,delta_omega,0.947812
4800,neutral_atom,epsilon_sx,0.939405
4900,superconducting,T1,0.868987
4900,superconducting,T2,0.868180
4900,superconducting,delta_omega,0.994170
4900,superconducting,epsilon_sx,0.968566
4900,trapped_ion,T1,0.993788
4900,trapped_ion,T2,0.979201
4900,trapped_ion,delta_omega,0.992851
4900,trapped_ion,epsilon_sx,0.974791
4900,neutral_atom,T1,0.862022
4900,neutral_atom,T2,0.940333
4900,neutral_atom,delta_omega,0.942548
4900,neutral_atom,epsilon_sx,0.941654
5000,superconducting,T1,0.910776
5000,superconducting,T2,0.916659
5000,superconducting,delta_omega,0.991271
5000,superconducting,epsilon_sx,0.973704
5000,trapped_ion,T1,0.989338
5000,trapped_ion,T2,0.974578
5000,trapped_ion,delta_omega,0.992215
5000,trapped_ion,epsilon_sx,0.976625
5000,neutral_atom,T1,0.822460
5000,neutral_atom,T2,0.940943
5000,neutral_atom,delta_omega,0.937643
5000,neutral_atom,epsilon_sx,0.916340
5100,superconducting,T1,0.889938
5100,superconducting,T2,0.893849
5100,superconducting,delta_omega,0.992719
5100,superconducting,epsilon_sx,0.970574
5100,trapped_ion,T1,0.986544
5100,trapped_ion,T2,0.958169
5100,trapped_ion,delta_omega,0.989063
5100,trapped_ion,epsilon_sx,0.977000
5100,neutral_atom,T1,0.899991
5100,neutral_atom,T2,0.938729
5100,neutral_atom,delta_omega,0.940443
5100,neutral_atom,epsilon_sx,0.942632
5200,superconducting,T1,0.923048
5200,superconducting,T2,0.907309
5200,superconducting,delta_omega,0.992531
5200,superconducting,epsilon_sx,0.975591
5200,trapped_ion,T1,0.992364
5200,trapped_ion,T2,0.968177
5200,trapped_ion,delta_omega,0.994313
5200,trapped_ion,epsilon_sx,0.972094
5200,neutral_atom,T1,0.934832
5200,neutral_atom,T2,0.928655
5200,neutral_atom,delta_omega,0.947288
5200,neutral_atom,epsilon_sx,0.950993
5300,superconducting,T1,0.917743
5300,superconducting,T2,0.902731
5300,superconducting,delta_omega,0.994411
5300,superconducting,epsilon_sx,0.982099
5300,trapped_ion,T1,0.994728
5300,trapped_ion,T2,0.969995
5300,trapped_ion,delta_omega,0.991724
5300,trapped_ion,epsilon_sx,0.977662
5300,neutral_atom,T1,0.866370
5300,neutral_atom,T2,0.956948
5300,neutral_atom,delta_omega,0.948093
5300,neutral_atom,epsilon_sx,0.953630
5400,superconducting,T1,0.912787
5400,superconducting,T2,0.894670
5400,superconducting,delta_omega,0.993575
5400,superconducting,epsilon_sx,0.972242
5400,trapped_ion,T1,0.994850
5400,trapped_ion,T2,0.970804
5400,trapped_ion,delta_omega,0.986437
5400,trapped_ion,epsilon_sx,0.979834
5400,neutral_atom,T1,0.772299
5400,neutral_atom,T2,0.946019
5400,neutral_atom,delta_omega,0.933281
5400,neutral_atom,epsilon_sx,0.932610
5500,superconducting,T1,0.924431
5500,superconducting,T2,0.907713
5500,superconducting,delta_omega,0.994278
5500,superconducting,epsilon_sx,0.972893
5500,trapped_ion,T1,0.991522
5500,trapped_ion,T2,0.973775
5500,trapped_ion,delta_omega,0.994604
5500,trapped_ion,epsilon_sx,0.970085
5500,neutral_atom,T1,0.850123
5500,neutral_atom,T2,0.936021
5500,neutral_atom,delta_omega,0.947598
5500,neutral_atom,epsilon_sx,0.941382
5600,superconducting,T1,0.921958
5600,superconducting,T2,0.917211
5600,superconducting,delta_omega,0.993602
5600,superconducting,epsilon_sx,0.949030
5600,trapped_ion,T1,0.994672
5600,trapped_ion,T2,0.972267
5600,trapped_ion,delta_omega,0.992569
5600,trapped_ion,epsilon_sx,0.975185
5600,neutral_atom,T1,0.900494
5600,neutral_atom,T2,0.943686
5600,neutral_atom,delta_omega,0.953801
5600,neutral_atom,epsilon_sx,0.960962
5700,superconducting,T1,0.925281
5700,superconducting,T2,0.871988
5700,superconducting,delta_omega,0.994784
5700,superconducting,epsilon_sx,0.976029
5700,trapped_ion,T1,0.992627
5700,trapped_ion,T2,0.977063
5700,trapped_ion,delta_omega,0.995181
5700,trapped_ion,epsilon_sx,0.979818
5700,neutral_atom,T1,0.802069
5700,neutral_atom,T2,0.929638
5700,neutral_atom,delta_omega,0.950183
5700,neutral_atom,epsilon_sx,0.936965
5800,superconducting,T1,0.902244
5800,superconducting,T2,0.918916
5800,superconducting,delta_omega,0.994023
5800,superconducting,epsilon_sx,0.974322
5800,trapped_ion,T1,0.993100
5800,trapped_ion,T2,0.966198
5800,trapped_ion,delta_omega,0.996321
5800,trapped_ion,epsilon_sx,0.980231
5800,neutral_atom,T1,0.923239
5800,neutral_atom,T2,0.950198
5800,neutral_atom,delta_omega,0.943651
5800,neutral_atom,epsilon_sx,0.949704
5900,superconducting,T1,0.907745
5900,superconducting,T2,0.899277
5900,superconducting,delta_omega,0.995652
5900,superconducting,epsilon_sx,0.981620
5900,trapped_ion,T1,0.992392
5900,trapped_ion,T2,0.979065
5900,trapped_ion,delta_omega,0.992432
5900,trapped_ion,epsilon_sx,0.974868
5900,neutral_atom,T1,0.944910
5900,neutral_atom,T2,0.948707
5900,neutral_atom,delta_omega,0.938783
5900,neutral_atom,epsilon_sx,0.946664
