shots,architecture,parameter,r2
1000,neutral_atom,T1,-0.296050
1000,neutral_atom,T2,0.573907
1000,neutral_atom,delta_omega,-5.519978
1000,neutral_atom,epsilon_sx,0.789021
1500,neutral_atom,T1,-0.759325
1500,neutral_atom,T2,0.695996
1500,neutral_atom,delta_omega,-6.096298
1500,neutral_atom,epsilon_sx,0.898614
2000,neutral_atom,T1,0.776635
2000,neutral_atom,T2,0.759202
2000,neutral_atom,delta_omega,-6.346044
2000,neutral_atom,epsilon_sx,0.889398
2500,neutral_atom,T1,0.344459
2500,neutral_atom,T2,0.781627
2500,neutral_atom,delta_omega,-6.110617
2500,neutral_atom,epsilon_sx,0.924157
3000,neutral_atom,T1,-0.579706
3000,neutral_atom,T2,0.874411
3000,neutral_atom,delta_omega,-6.999664
3000,neutral_atom,epsilon_sx,0.929120
3500,neutral_atom,T1,0.881616
3500,neutral_atom,T2,0.849988
3500,neutral_atom,delta_omega,-7.144981
3500,neutral_atom,epsilon_sx,0.940836
4000,neutral_atom,T1,0.788110
4000,neutral_atom,T2,0.863937
4000,neutral_atom,delta_omega,-7.184735
4000,neutral_atom,epsilon_sx,0.950089
4500,neutral_atom,T1,0.875012
4500,neutral_atom,T2,0.863257
4500,neutral_atom,delta_omega,-5.911479
4500,neutral_atom,epsilon_sx,0.950716
5000,neutral_atom,T1,0.872308
5000,neutral_atom,T2,0.863020
5000,neutral_atom,delta_omega,-6.944098
5000,neutral_atom,epsilon_sx,0.948928
5500,neutral_atom,T1,0.919063
5500,neutral_atom,T2,0.886812
5500,neutral_atom,delta_omega,-6.691704
5500,neutral_atom,epsilon_sx,0.957158
6000,neutral_atom,T1,0.935244
6000,neutral_atom,T2,0.885345
6000,neutral_atom,delta_omega,-6.412254
6000,neutral_atom,epsilon_sx,0.956721
6500,neutral_atom,T1,0.891563
6500,neutral_atom,T2,0.899756
6500,neutral_atom,delta_omega,-5.613019
6500,neutral_atom,epsilon_sx,0.970338
7000,neutral_atom,T1,0.937031
7000,neutral_atom,T2,0.892304
7000,neutral_atom,delta_omega,-6.063650
7000,neutral_atom,epsilon_sx,0.970978
7500,neutral_atom,T1,0.934306
7500,neutral_atom,T2,0.905352
7500,neutral_atom,delta_omega,-6.443300
7500,neutral_atom,epsilon_sx,0.972605
8000,neutral_atom,T1,0.928435
8000,neutral_atom,T2,0.903970
8000,neutral_atom,delta_omega,-5.968350
8000,neutral_atom,epsilon_sx,0.978216
8500,neutral_atom,T1,0.950000
8500,neutral_atom,T2,0.895067
8500,neutral_atom,delta_omega,-6.316543
8500,neutral_atom,epsilon_sx,0.970579
9000,neutral_atom,T1,0.934692
9000,neutral_atom,T2,0.908791
9000,neutral_atom,delta_omega,-5.725466
9000,neutral_atom,epsilon_sx,0.974444
