shots,architecture,parameter,r2
1000,superconducting,T1,0.775351
1000,superconducting,T2,0.775597
1000,superconducting,delta_omega,-2.318263
1000,superconducting,epsilon_sx,0.771441
1500,superconducting,T1,0.854499
1500,superconducting,T2,0.828502
1500,superconducting,delta_omega,-2.327350
1500,superconducting,epsilon_sx,0.815446
2000,superconducting,T1,0.891285
2000,superconducting,T2,0.869814
2000,superconducting,delta_omega,-2.642089
2000,superconducting,epsilon_sx,0.827569
2500,superconducting,T1,0.888086
2500,superconducting,T2,0.885330
2500,superconducting,delta_omega,-2.377465
2500,superconducting,epsilon_sx,0.857587
3000,superconducting,T1,0.926085
3000,superconducting,T2,0.921999
3000,superconducting,delta_omega,-2.584031
3000,superconducting,epsilon_sx,0.857108
3500,superconducting,T1,0.934773
3500,superconducting,T2,0.928223
3500,superconducting,delta_omega,-3.050712
3500,superconducting,epsilon_sx,0.871112
4000,superconducting,T1,0.941580
4000,superconducting,T2,0.935447
4000,superconducting,delta_omega,-2.682599
4000,superconducting,epsilon_sx,0.865624
4500,superconducting,T1,0.941822
4500,superconducting,T2,0.934308
4500,superconducting,delta_omega,-2.737867
4500,superconducting,epsilon_sx,0.881703
5000,superconducting,T1,0.946236
5000,superconducting,T2,0.940751
5000,superconducting,delta_omega,-3.269430
5000,superconducting,epsilon_sx,0.914570
5500,superconducting,T1,0.945127
5500,superconducting,T2,0.944994
5500,superconducting,delta_omega,-3.452921
5500,superconducting,epsilon_sx,0.890631
6000,superconducting,T1,0.962601
6000,superconducting,T2,0.941983
6000,superconducting,delta_omega,-2.885115
6000,superconducting,epsilon_sx,0.903505
6500,superconducting,T1,0.962041
6500,superconducting,T2,0.949889
6500,superconducting,delta_omega,-2.724049
6500,superconducting,epsilon_sx,0.904241
7000,superconducting,T1,0.964239
7000,superconducting,T2,0.928354
7000,superconducting,delta_omega,-3.846323
7000,superconducting,epsilon_sx,0.919151
7500,superconducting,T1,0.964179
7500,superconducting,T2,0.958677
7500,superconducting,delta_omega,-2.704703
7500,superconducting,epsilon_sx,0.891105
8000,superconducting,T1,0.967854
8000,superconducting,T2,0.952875
8000,superconducting,delta_omega,-2.789173
8000,superconducting,epsilon_sx,0.923039
