shots,architecture,parameter,r2
1000,trapped_ion,T1,0.957720
1000,trapped_ion,T2,0.836717
1000,trapped_ion,delta_omega,-0.339572
1000,trapped_ion,epsilon_sx,0.821961
1500,trapped_ion,T1,0.965414
1500,trapped_ion,T2,0.891036
1500,trapped_ion,delta_omega,-0.408983
1500,trapped_ion,epsilon_sx,0.883480
2000,trapped_ion,T1,0.970108
2000,trapped_ion,T2,0.903995
2000,trapped_ion,delta_omega,-0.427408
2000,trapped_ion,epsilon_sx,0.904607
2500,trapped_ion,T1,0.982180
2500,trapped_ion,T2,0.935920
2500,trapped_ion,delta_omega,-0.436037
2500,trapped_ion,epsilon_sx,0.923197
3000,trapped_ion,T1,0.977334
3000,trapped_ion,T2,0.962044
3000,trapped_ion,delta_omega,-0.383334
3000,trapped_ion,epsilon_sx,0.915128
3500,trapped_ion,T1,0.989743
3500,trapped_ion,T2,0.960937
3500,trapped_ion,delta_omega,-0.512130
3500,trapped_ion,epsilon_sx,0.945940
4000,trapped_ion,T1,0.992078
4000,trapped_ion,T2,0.974214
4000,trapped_ion,delta_omega,-0.462231
4000,trapped_ion,epsilon_sx,0.932236
4500,trapped_ion,T1,0.989280
4500,trapped_ion,T2,0.965709
4500,trapped_ion,delta_omega,-0.388515
4500,trapped_ion,epsilon_sx,0.956622
5000,trapped_ion,T1,0.993200
5000,trapped_ion,T2,0.970097
5000,trapped_ion,delta_omega,-0.598541
5000,trapped_ion,epsilon_sx,0.959232
5500,trapped_ion,T1,0.991570
5500,trapped_ion,T2,0.976316
5500,trapped_ion,delta_omega,-0.550366
5500,trapped_ion,epsilon_sx,0.965806
6000,trapped_ion,T1,0.993013
6000,trapped_ion,T2,0.982779
6000,trapped_ion,delta_omega,-0.493473
6000,trapped_ion,epsilon_sx,0.963143
6500,trapped_ion,T1,0.994286
6500,trapped_ion,T2,0.983610
6500,trapped_ion,delta_omega,-0.653501
6500,trapped_ion,epsilon_sx,0.968023
7000,trapped_ion,T1,0.993088
7000,trapped_ion,T2,0.977885
7000,trapped_ion,delta_omega,-0.689409
7000,trapped_ion,epsilon_sx,0.969774
7500,trapped_ion,T1,0.994397
7500,trapped_ion,T2,0.986612
7500,trapped_ion,delta_omega,-0.495747
7500,trapped_ion,epsilon_sx,0.956246
8000,trapped_ion,T1,0.993801
8000,trapped_ion,T2,0.987919
8000,trapped_ion,delta_omega,-0.390925
8000,trapped_ion,epsilon_sx,0.965553
8500,trapped_ion,T1,0.995074
8500,trapped_ion,T2,0.988840
8500,trapped_ion,delta_omega,-0.415773
8500,trapped_ion,epsilon_sx,0.968179
9000,trapped_ion,T1,0.993213
9000,trapped_ion,T2,0.987231
9000,trapped_ion,delta_omega,-0.593075
9000,trapped_ion,epsilon_sx,0.968225
