qubit,backend,timestamp,canary_eps_sx,canary_sigma,published_device_eps_1q,published_device_eps_1q_sigma,p0g1,p1g0
0,qpu.forte-1,2026-08-11T09:22:34.740785+00:00,0.00020715815986816519,1.517895957978147e-05,0.00019999999999997797,0.0,0.0026956521739130365,0.009704347826086932
1,qpu.forte-1,2026-08-11T09:22:34.740832+00:00,0.00011341290076305467,7.959039547642914e-06,0.00019999999999997797,0.0,0.0026956521739130365,0.009704347826086932
2,qpu.forte-1,2026-08-11T09:22:34.740847+00:00,0.00013593602320993318,8.909922248953059e-06,0.00019999999999997797,0.0,0.0026956521739130365,0.009704347826086932
3,qpu.forte-1,2026-08-11T09:22:34.740855+00:00,0.0004511672916802158,2.7012673166353448e-05,0.00019999999999997797,0.0,0.0026956521739130365,0.009704347826086932
4,qpu.forte-1,2026-08-11T09:22:34.740863+00:00,0.00011583346352417671,8.0585326421227e-06,0.00019999999999997797,0.0,0.0026956521739130365,0.009704347826086932
5,qpu.forte-1,2026-08-11T09:22:34.740871+00:00,0.00015749356520381938,9.870278913650206e-06,0.00019999999999997797,0.0,0.0026956521739130365,0.009704347826086932
6,qpu.forte-1,2026-08-11T09:22:34.740878+00:00,0.00034653894980424065,2.0023182747713465e-05,0.00019999999999997797,0.0,0.0026956521739130365,0.009704347826086932
7,qpu.forte-1,2026-08-11T09:22:34.740886+00:00,0.00016724055360275736,1.3636091496794416e-05,0.00019999999999997797,0.0,0.0026956521739130365,0.009704347826086932
8,qpu.forte-1,2026-08-11T09:22:34.740892+00:00,0.0002249610057681317,1.3155829689435738e-05,0.00019999999999997797,0.0,0.0026956521739130365,0.009704347826086932
9,qpu.forte-1,2026-08-11T09:22:34.740901+00:00,9.16361744100446e-05,9.347736661866116e-07,0.00019999999999997797,0.0,0.0026956521739130365,0.009704347826086932
10,qpu.forte-1,2026-08-11T09:22:34.740909+00:00,0.0001296285069411834,8.638046774614526e-06,0.00019999999999997797,0.0,0.0026956521739130365,0.009704347826086932
11,qpu.forte-1,2026-08-11T09:22:34.740915+00:00,0.00011041233238619917,7.836633868718794e-06,0.00019999999999997797,0.0,0.0026956521739130365,0.009704347826086932
12,qpu.forte-1,2026-08-11T09:22:34.740962+00:00,8.243901586373332e-05,6.746569214985027e-06,0.00019999999999997797,0.0,0.0026956521739130365,0.009704347826086932
13,qpu.forte-1,2026-08-11T09:22:34.740971+00:00,0.0001195633160625517,8.21313719840635e-06,0.00019999999999997797,0.0,0.0026956521739130365,0.009704347826086932
14,qpu.forte-1,2026-08-11T09:22:34.740978+00:00,0.0003238545489225072,1.8648746016775415e-05,0.00019999999999997797,0.0,0.0026956521739130365,0.009704347826086932
15,qpu.forte-1,2026-08-11T09:22:34.740985+00:00,0.00010039956536033878,7.435721174404661e-06,0.00019999999999997797,0.0,0.0026956521739130365,0.009704347826086932
16,qpu.forte-1,2026-08-11T09:22:34.740991+00:00,0.0002483230220960226,1.9123799864119627e-05,0.00019999999999997797,0.0,0.0026956521739130365,0.009704347826086932
17,qpu.forte-1,2026-08-11T09:22:34.740998+00:00,0.00014015300437418134,9.290547876544565e-06,0.00019999999999997797,0.0,0.0026956521739130365,0.009704347826086932
18,qpu.forte-1,2026-08-11T09:22:34.741004+00:00,8.989015808385466e-05,7.027710570089776e-06,0.00019999999999997797,0.0,0.0026956521739130365,0.009704347826086932
19,qpu.forte-1,2026-08-11T09:22:34.741011+00:00,8.560446546356899e-05,6.865170678295056e-06,0.00019999999999997797,0.0,0.0026956521739130365,0.009704347826086932
