qubit,backend,twirled,timestamp,canary_eps_sx,canary_sigma,published_device_eps_1q,published_device_eps_1q_sigma,p0g1,p1g0
0,ionq_simulator:forte-1,True,2026-08-10T14:49:51.392717+00:00,6.95086874092188e-05,1.484081747880687e-05,0.00019999999999997797,0.0,0.0005,0.0018
1,ionq_simulator:forte-1,True,2026-08-10T14:49:51.392764+00:00,5.622721230739776e-05,1.8751547218484946e-05,0.00019999999999997797,0.0,0.0005,0.0018
2,ionq_simulator:forte-1,True,2026-08-10T14:49:51.392777+00:00,5.792392415638509e-05,1.8802263726793974e-05,0.00019999999999997797,0.0,0.0005,0.0018
3,ionq_simulator:forte-1,True,2026-08-10T14:49:51.392785+00:00,7.06702791936117e-05,1.918654812949495e-05,0.00019999999999997797,0.0,0.0005,0.0018
4,ionq_simulator:forte-1,True,2026-08-10T14:49:51.392792+00:00,6.981551830185025e-05,1.916059691796759e-05,0.00019999999999997797,0.0,0.0005,0.0018
5,ionq_simulator:forte-1,True,2026-08-10T14:49:51.392798+00:00,5.7299783623334714e-05,1.6528606502782253e-05,0.00019999999999997797,0.0,0.0005,0.0018
6,ionq_simulator:forte-1,True,2026-08-10T14:49:51.392804+00:00,7.328545903109474e-05,1.926610913655595e-05,0.00019999999999997797,0.0,0.0005,0.0018
7,ionq_simulator:forte-1,True,2026-08-10T14:49:51.392810+00:00,6.185751795417643e-05,1.5254571797440419e-05,0.00019999999999997797,0.0,0.0005,0.0018
8,ionq_simulator:forte-1,True,2026-08-10T14:49:51.392816+00:00,5.30660116474218e-05,2.1227378512515465e-05,0.00019999999999997797,0.0,0.0005,0.0018
9,ionq_simulator:forte-1,True,2026-08-10T14:49:51.392822+00:00,8.170080290271615e-05,1.95237864009498e-05,0.00019999999999997797,0.0,0.0005,0.0018
10,ionq_simulator:forte-1,True,2026-08-10T14:49:51.392828+00:00,7.37617861989472e-05,1.9280626636680373e-05,0.00019999999999997797,0.0,0.0005,0.0018
11,ionq_simulator:forte-1,True,2026-08-10T14:49:51.392834+00:00,5.945033849836156e-05,1.88479775155226e-05,0.00019999999999997797,0.0,0.0005,0.0018
12,ionq_simulator:forte-1,True,2026-08-10T14:49:51.392841+00:00,7.207683642024394e-05,1.922930912210933e-05,0.00019999999999997797,0.0,0.0005,0.0018
13,ionq_simulator:forte-1,True,2026-08-10T14:49:51.392847+00:00,5.379495786686257e-05,1.8679023415436106e-05,0.00019999999999997797,0.0,0.0005,0.0018
14,ionq_simulator:forte-1,True,2026-08-10T14:49:51.392854+00:00,7.153206915160052e-05,1.9212739170614428e-05,0.00019999999999997797,0.0,0.0005,0.0018
15,ionq_simulator:forte-1,True,2026-08-10T14:49:51.392859+00:00,6.17907705575057e-05,1.891823119778813e-05,0.00019999999999997797,0.0,0.0005,0.0018
16,ionq_simulator:forte-1,True,2026-08-10T14:49:51.392865+00:00,6.232472286382222e-05,2.1706462202446633e-05,0.00019999999999997797,0.0,0.0005,0.0018
17,ionq_simulator:forte-1,True,2026-08-10T14:49:51.392870+00:00,4.95258991898181e-05,1.855223983024005e-05,0.00019999999999997797,0.0,0.0005,0.0018
18,ionq_simulator:forte-1,True,2026-08-10T14:49:51.392876+00:00,6.035623245060273e-05,1.8875146929963928e-05,0.00019999999999997797,0.0,0.0005,0.0018
19,ionq_simulator:forte-1,True,2026-08-10T14:49:51.392882+00:00,7.521146945040926e-05,1.9324859984532303e-05,0.00019999999999997797,0.0,0.0005,0.0018
20,ionq_simulator:forte-1,True,2026-08-10T14:49:51.392888+00:00,5.365652170773781e-05,2.1182735720203186e-05,0.00019999999999997797,0.0,0.0005,0.0018
21,ionq_simulator:forte-1,True,2026-08-10T14:49:51.392894+00:00,6.140662743907056e-05,2.046579259303633e-05,0.00019999999999997797,0.0,0.0005,0.0018
22,ionq_simulator:forte-1,True,2026-08-10T14:49:51.392900+00:00,7.336338942844732e-05,1.9268483744693434e-05,0.00019999999999997797,0.0,0.0005,0.0018
23,ionq_simulator:forte-1,True,2026-08-10T14:49:51.392905+00:00,7.211066271688057e-05,1.9230338351574603e-05,0.00019999999999997797,0.0,0.0005,0.0018
24,ionq_simulator:forte-1,True,2026-08-10T14:49:51.392912+00:00,8.187440499210856e-05,1.0064836137902434e-06,0.00019999999999997797,0.0,0.0005,0.0018
25,ionq_simulator:forte-1,True,2026-08-10T14:49:51.392918+00:00,7.650963007231645e-05,1.9364533770519883e-05,0.00019999999999997797,0.0,0.0005,0.0018
26,ionq_simulator:forte-1,True,2026-08-10T14:49:51.392924+00:00,8.503742710927222e-05,1.9626655041455358e-05,0.00019999999999997797,0.0,0.0005,0.0018
27,ionq_simulator:forte-1,True,2026-08-10T14:49:51.392930+00:00,7.150311723164478e-05,1.921185884928193e-05,0.00019999999999997797,0.0,0.0005,0.0018
28,ionq_simulator:forte-1,True,2026-08-10T14:49:51.392936+00:00,5.317005805675042e-05,1.8660424461918654e-05,0.00019999999999997797,0.0,0.0005,0.0018
