timestamp,backend,qubit_id,T1_us,T2_us,sx_error,x_error,cz_error,readout_error,t_sx_ns,t_x_ns,t_cz_ns
2026-05-30,ibm_marrakesh,0,340.1221,56.2441,0.00042886,0.00042886,0.00488892,0.00463867,36.0,36.0,68.0
2026-05-30,ibm_marrakesh,1,123.0274,113.9512,0.00027987,0.00027987,0.00109482,0.0078125,36.0,36.0,68.0
2026-05-30,ibm_marrakesh,2,379.0163,332.9224,0.00019702,0.00019702,0.00215402,0.0065918,36.0,36.0,68.0
2026-05-30,ibm_marrakesh,3,222.0084,264.5245,0.00038328,0.00038328,0.00333852,0.00854492,36.0,36.0,80.0
2026-05-30,ibm_marrakesh,4,130.3239,74.1456,0.00027471,0.00027471,0.00237314,0.00830078,36.0,36.0,68.0
2026-05-30,ibm_marrakesh,5,176.6743,140.0058,0.00032268,0.00032268,0.00129861,0.00317383,36.0,36.0,68.0
2026-05-30,ibm_marrakesh,6,360.6577,360.2115,0.00032656,0.00032656,0.00109388,0.01147461,36.0,36.0,68.0
2026-05-30,ibm_marrakesh,7,280.8582,234.6831,0.00056105,0.00056105,0.00227311,0.00854492,36.0,36.0,80.0
2026-05-30,ibm_marrakesh,8,181.5294,124.0096,0.00019173,0.00019173,0.00204636,0.00732422,36.0,36.0,68.0
2026-05-30,ibm_marrakesh,9,152.3486,231.0865,0.00014751,0.00014751,,0.01953125,36.0,36.0,
2026-05-29,ibm_marrakesh,0,235.9813,43.0224,0.00049479,0.00049479,0.00252156,0.01391602,36.0,36.0,68.0
2026-05-29,ibm_marrakesh,1,165.7441,128.4447,0.00025922,0.00025922,0.00171552,0.01220703,36.0,36.0,68.0
2026-05-29,ibm_marrakesh,2,301.1781,323.1648,0.00050705,0.00050705,0.00228388,0.01049805,36.0,36.0,68.0
2026-05-29,ibm_marrakesh,3,346.2416,250.0762,0.00047862,0.00047862,0.0027373,0.01660156,36.0,36.0,80.0
2026-05-29,ibm_marrakesh,4,130.3239,172.5901,0.00035157,0.00035157,0.00211496,0.00854492,36.0,36.0,68.0
2026-05-29,ibm_marrakesh,5,252.9996,126.2619,0.00021116,0.00021116,0.00375208,0.00439453,36.0,36.0,68.0
2026-05-29,ibm_marrakesh,6,317.3552,271.5029,0.00014617,0.00014617,0.00176433,0.00927734,36.0,36.0,68.0
2026-05-29,ibm_marrakesh,7,257.6703,133.8414,0.00025219,0.00025219,0.00227483,0.00683594,36.0,36.0,80.0
2026-05-29,ibm_marrakesh,8,159.768,63.8962,0.00028538,0.00028538,0.0024378,0.0144043,36.0,36.0,68.0
2026-05-29,ibm_marrakesh,9,181.8576,275.562,0.00029384,0.00029384,,0.02758789,36.0,36.0,
2026-05-28,ibm_marrakesh,0,332.5817,43.0679,0.00056782,0.00056782,0.00252156,0.00512695,36.0,36.0,68.0
2026-05-28,ibm_marrakesh,1,161.6836,145.4698,0.00019846,0.00019846,0.00171552,0.02197266,36.0,36.0,68.0
2026-05-28,ibm_marrakesh,2,332.5988,390.9651,0.00015067,0.00015067,0.00228388,0.00354004,36.0,36.0,68.0
2026-05-28,ibm_marrakesh,3,305.4955,333.0922,0.00026567,0.00026567,0.0027373,0.01025391,36.0,36.0,80.0
2026-05-28,ibm_marrakesh,4,214.8551,228.7566,0.00040725,0.00040725,0.00211496,0.00524902,36.0,36.0,68.0
2026-05-28,ibm_marrakesh,5,202.3755,122.1142,0.00033277,0.00033277,0.00375208,0.00842285,36.0,36.0,68.0
2026-05-28,ibm_marrakesh,6,216.01,107.3309,0.00021005,0.00021005,0.00176433,0.00927734,36.0,36.0,68.0
2026-05-28,ibm_marrakesh,7,352.6045,138.1217,0.00015781,0.00015781,0.00227483,0.00830078,36.0,36.0,80.0
2026-05-28,ibm_marrakesh,8,198.8982,110.372,0.00022131,0.00022131,0.0024378,0.00561523,36.0,36.0,68.0
2026-05-28,ibm_marrakesh,9,183.7977,214.2812,0.00025159,0.00025159,,0.01074219,36.0,36.0,
2026-05-27,ibm_marrakesh,0,204.3926,32.1074,0.00040618,0.00040618,0.00227444,0.00500488,36.0,36.0,68.0
2026-05-27,ibm_marrakesh,1,121.437,62.233,0.0002583,0.0002583,0.00144405,0.00793457,36.0,36.0,68.0
2026-05-27,ibm_marrakesh,2,172.0247,157.2543,0.00045457,0.00045457,0.00247194,0.00463867,36.0,36.0,68.0
2026-05-27,ibm_marrakesh,3,236.5446,263.4032,0.00030458,0.00030458,0.00394503,0.00610352,36.0,36.0,80.0
2026-05-27,ibm_marrakesh,4,142.8433,181.6951,0.00032071,0.00032071,0.00231358,0.00671387,36.0,36.0,68.0
2026-05-27,ibm_marrakesh,5,184.812,132.9353,0.00045491,0.00045491,0.00320027,0.00512695,36.0,36.0,68.0
2026-05-27,ibm_marrakesh,6,294.0703,322.2725,0.00022297,0.00022297,0.00144126,0.00671387,36.0,36.0,68.0
2026-05-27,ibm_marrakesh,7,200.1314,98.1977,0.00019778,0.00019778,0.00213372,0.00622559,36.0,36.0,80.0
2026-05-27,ibm_marrakesh,8,210.9949,95.4247,0.00021363,0.00021363,0.00164827,0.00683594,36.0,36.0,68.0
2026-05-27,ibm_marrakesh,9,120.6237,120.5287,0.00021027,0.00021027,,0.06762695,36.0,36.0,
2026-05-26,ibm_marrakesh,0,362.7629,33.4069,0.00036435,0.00036435,0.00209208,0.00622559,36.0,36.0,68.0
2026-05-26,ibm_marrakesh,1,190.2352,60.536,0.00022671,0.00022671,0.00256132,0.00683594,36.0,36.0,68.0
2026-05-26,ibm_marrakesh,2,373.3961,457.6651,0.00028349,0.00028349,0.00262414,0.00683594,36.0,36.0,68.0
2026-05-26,ibm_marrakesh,3,252.4211,231.1094,0.00029541,0.00029541,0.00236299,0.01049805,36.0,36.0,80.0
2026-05-26,ibm_marrakesh,4,204.3755,215.7062,0.00032959,0.00032959,0.00230698,0.00634766,36.0,36.0,68.0
