backend_name,qubit_id,timestamp,architecture,T1_s,T1_sigma_s,T2_s,T2_sigma_s,delta_omega,delta_omega_sigma,epsilon_sx,epsilon_sx_sigma,p1_t1,p1_ramsey,p0_gate,t1_delays_s,ramsey_delays_s,gate_rep_N,t1_residual,ramsey_residual,gate_residual
demo,0,2026-07-12 17:46:56 UTC,superconducting,0.00015153548525547475,1.6560697863586856e-06,8.15191295554812e-05,2.3977066775203682e-06,-30062.04214027442,737.9834471433365,0.0002890870348551601,7.903667584731897e-05,"[0.949, 0.678, 0.223]","[0.02, 0.157, 0.65]","[0.996, 0.99, 0.991]","[7.499916600000001e-06, 5.9999999400000005e-05, 0.00022499994220000002]","[3.6000844000000002e-06, 1.79999776e-05, 9.000011020000001e-05]","[5.0, 10.0, 20.0]",4.451737320363642e-05,1.9853697067585238e-05,2.5233236342636607e-05
demo,0,2026-07-12 18:23:03 UTC,neutral_atom,3.919613209424715,0.08983432704359505,1.0479266083605416,0.020808200255648984,-62831.61299539666,0.0848245532354519,0.0004250701421289822,3.637255952896714e-05,"[0.952, 0.654, 0.225]","[0.02, 0.087, 0.313]","[0.994, 0.993, 0.983]","[0.2, 1.6, 6.0]","[0.04, 0.2, 1.0]","[5.0, 10.0, 20.0]",0.0001950982759223127,1.6904403121122802e-06,5.2470285198082385e-06
demo,1,2026-07-12 18:23:04 UTC,neutral_atom,4.28717501443992,0.09486050528083234,1.1147593385548216,0.6940185088552258,-62823.734326134356,0.9132180566680344,0.0005142818042076974,8.021075775413868e-05,"[0.943, 0.69, 0.258]","[0.067, 0.841, 0.332]","[0.99, 0.99, 0.981]","[0.19598066047123575, 1.567845283769886, 5.879419814137073]","[0.04191706433442167, 0.20958532167210833, 1.0479266083605416]","[5.0, 10.0, 20.0]",0.00018346489484824535,0.005953857903932993,2.521278161824965e-05
demo,2,2026-07-12 18:23:04 UTC,neutral_atom,3.8283771399256277,0.10335739191294223,1.0441129251838284,0.30089389551876766,-62787.67676840928,0.12529627696587098,0.00047399675432608843,1.44570788210329e-05,"[0.942, 0.651, 0.176]","[0.881, 0.11, 0.496]","[0.996, 0.991, 0.981]","[0.214358750721996, 1.714870005775968, 6.430762521659879]","[0.04459037354219286, 0.2229518677109643, 1.1147593385548216]","[5.0, 10.0, 20.0]",0.00026643778085519264,0.0005655839873447402,8.235099212267855e-07
demo,3,2026-07-12 18:23:04 UTC,neutral_atom,4.014488174395975,0.13850474898593537,0.9434748047400491,0.0620019336257128,-62849.51054102834,0.10840085052677154,0.0005491608124492406,9.17036514854237e-05,"[0.948, 0.667, 0.252]","[0.472, 0.344, 0.348]","[0.995, 0.984, 0.981]","[0.1914188569962814, 1.5313508559702511, 5.742565709888441]","[0.04176451700735313, 0.20882258503676568, 1.0441129251838284]","[5.0, 10.0, 20.0]",0.0004451729224370861,9.802525552870548e-05,3.28014414072293e-05
demo,4,2026-07-12 18:23:04 UTC,neutral_atom,3.921631686644785,0.05038598382101636,0.9282177934543839,0.020339619411505035,-62810.37307772722,0.0513619770422142,0.0005578926507660667,9.22869690130271e-06,"[0.952, 0.658, 0.22]","[0.529, 0.638, 0.679]","[0.995, 0.989, 0.978]","[0.20072440871979877, 1.6057952697583902, 6.021732261593963]","[0.037738992189601965, 0.18869496094800983, 0.9434748047400491]","[5.0, 10.0, 20.0]",6.128572510820641e-05,1.584991570762978e-05,3.3181106905592415e-07
demo,5,2026-07-12 18:23:04 UTC,neutral_atom,3.832901064461735,0.020180329079644704,0.29462328749615396,0.05007484187671838,-313761.947732033,1.0087727304101417,0.0005426677444794813,5.586883587019208e-05,"[0.952, 0.662, 0.217]","[0.145, 0.751, 0.479]","[0.998, 0.989, 0.978]","[0.19608158433223927, 1.5686526746579141, 5.882447529967178]","[0.037128711738175356, 0.1856435586908768, 0.9282177934543839]","[5.0, 10.0, 20.0]",1.0292129241112338e-05,0.0006217678745295812,1.2185345822896535e-05
aer_ideal,0,2026-07-12 18:28:42 UTC,trapped_ion,999.9894710588694,712.1594113991011,5.999999834093637,35.52380924126233,-62831.85307179586,2162.2284278357242,1.8888549216945792e-06,1.335707972750823e-06,"[1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[0.5, 4.0, 15.0]","[0.04, 0.2, 1.0]","[5.0, 10.0, 20.0]",0.0002378453393981082,0.006171698853983925,7.491367606574751e-09
aer_ideal,0,2026-07-12 18:43:56 UTC,trapped_ion,999.9894710588694,712.1594113991011,5.999999834093637,35.52380924126233,-62831.85307179586,2162.2284278357242,1.8888549216945792e-06,1.335707972750823e-06,"[1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[0.5, 4.0, 15.0]","[0.04, 0.2, 1.0]","[5.0, 10.0, 20.0]",0.0002378453393981082,0.006171698853983925,7.491367606574751e-09
aer_ideal,1,2026-07-12 18:44:11 UTC,trapped_ion,999.9999999411535,1385.3222770275622,35.999998013837164,213.20366862903012,-62831.85307179586,12.751945542272553,1.8888549216945792e-06,1.335707972750823e-06,"[1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[49.99947355294347, 399.99578842354776, 1499.984206588304]","[0.23999999336374547, 1.1999999668187273, 5.999999834093637]","[5.0, 10.0, 20.0]",0.7145868035210561,0.006175264327869019,7.491367606574751e-09
