architecture,probe,dof,n,mean_chi2_dof,ks_statistic,ks_pvalue,empirical_fp_rate,theoretical_fp_rate,fp_threshold
neutral_atom,t1,2,500,20.727040745663732,0.1399335937903049,5.279590534707672e-09,0.162,0.04978706836786395,3.0
neutral_atom,ramsey,5,500,2.2750277828382464,0.33926970422927805,7.411717519281871e-52,0.186,0.010362337915786446,3.0
neutral_atom,echo,2,500,1.4030089594784787,0.08921270690312266,0.0006516814390285378,0.108,0.04978706836786395,3.0
neutral_atom,gate,2,500,1.0045826819642367,0.021933483550740318,0.9654358128487848,0.044,0.04978706836786395,3.0
superconducting,t1,2,500,1.4595895784183153,0.317513571238456,2.5458221856543057e-45,0.048,0.04978706836786395,3.0
superconducting,ramsey,5,500,1.2498871020159004,0.10276686270997237,4.740371339249601e-05,0.068,0.010362337915786446,3.0
superconducting,echo,2,500,1.0185255325141123,0.037285626007591,0.4789727727535481,0.052,0.04978706836786395,3.0
superconducting,gate,2,500,1.3280684253084891,0.10396634067761923,3.69233764656647e-05,0.112,0.04978706836786395,3.0
trapped_ion,t1,2,500,3.4827261265726603,0.26228091846681456,7.714302730887426e-31,0.22,0.04978706836786395,3.0
trapped_ion,ramsey,5,500,2.840926643155317,0.3165964617966628,4.686426149978411e-45,0.276,0.010362337915786446,3.0
trapped_ion,echo,2,500,0.9805432424035618,0.028696311178570078,0.7936604805941342,0.044,0.04978706836786395,3.0
trapped_ion,gate,2,500,1.0110971272903775,0.036591786711891006,0.5031761475987842,0.06,0.04978706836786395,3.0
