architecture,probe,dof,n,mean_chi2_dof,ks_statistic,ks_pvalue,empirical_fp_rate,theoretical_fp_rate,fp_threshold
neutral_atom,t1,2,500,1.070039467450271,0.029592251316254203,0.7620606375826834,0.064,0.04978706836786395,3.0
neutral_atom,ramsey,5,500,1.4051657665517778,0.15875257320751934,1.7875335293822123e-11,0.094,0.010362337915786446,3.0
neutral_atom,echo,2,500,1.0051421313860647,0.03894929162697969,0.42338669454657885,0.046,0.04978706836786395,3.0
neutral_atom,gate,2,500,0.9666635725372654,0.03261910475731855,0.6496055670780341,0.044,0.04978706836786395,3.0
superconducting,t1,2,500,1.130073971350628,0.07739565209239191,0.004729429192096544,0.066,0.04978706836786395,3.0
superconducting,ramsey,5,500,1.4482607338855449,0.1968389939403431,1.888201817645419e-17,0.108,0.010362337915786446,3.0
superconducting,echo,2,500,1.0621398181278692,0.05112138770124963,0.14155655971778647,0.06,0.04978706836786395,3.0
superconducting,gate,2,500,1.5501110039392927,0.14694932682204576,6.897524784768725e-10,0.146,0.04978706836786395,3.0
trapped_ion,t1,2,500,1.159209916407213,0.06458529092893545,0.029503845297668585,0.082,0.04978706836786395,3.0
trapped_ion,ramsey,5,500,1.2241052203301688,0.10529298760905048,2.7913219345941298e-05,0.072,0.010362337915786446,3.0
trapped_ion,echo,2,500,1.0698529795409693,0.038437495152224055,0.4400950451782478,0.064,0.04978706836786395,3.0
trapped_ion,gate,2,500,1.0234744367309823,0.0332570380050089,0.6255535117946976,0.052,0.04978706836786395,3.0
