architecture,budget_nominal,budget_actual,n_success,fit_failures,T1_r2,T2_r2,dw_r2,eps_r2
superconducting,1000,1002,100,0,0.4965807558106895,0.6607058934237795,0.9272071643023545,0.6352339641174852
superconducting,1050,1050,100,0,0.6357304053048689,0.7230916677141113,0.9161367244258297,0.6483292837493999
superconducting,1100,1101,100,0,0.370051581565365,0.6505801167354741,0.9208626800232886,0.6203973614415208
superconducting,1150,1149,100,0,0.5935624572113711,0.7876990086928187,0.9308453528769355,0.6125405548569594
superconducting,1200,1200,100,0,0.5749959459980731,0.6655841425483591,0.9384822760037099,0.7039402300455397
superconducting,1250,1248,100,0,0.5613659236879266,0.7143146374106655,0.9432458872824957,0.6751915341069177
superconducting,1300,1299,100,0,0.5101690784557733,0.7186545161460123,0.9389777827635752,0.6987592402791045
superconducting,1350,1347,100,0,0.4793036383014029,0.8150406543234352,0.9641340461340844,0.7529094872834395
superconducting,1400,1398,100,0,0.5811636231785484,0.7649828541282349,0.9438447763130062,0.7870917242126196
superconducting,1450,1446,100,0,0.6366683377643363,0.8514598845382014,0.9535965755086129,0.6981316553856349
superconducting,1500,1503,100,0,0.6345991754513409,0.7483772857385116,0.9488609940182157,0.8265510608330664
superconducting,1550,1551,100,0,0.5814867195736098,0.7824207250252967,0.9529704980560464,0.756275487590792
superconducting,1600,1602,100,0,0.669856971003002,0.8051839807211756,0.944575827881917,0.7181875572296949
superconducting,1650,1650,100,0,0.5779116958091322,0.8070829882944649,0.9687014478292979,0.7882195287761313
superconducting,1700,1704,100,0,0.7455517690397642,0.8072769998738127,0.9598725858278178,0.7010347523888494
superconducting,1750,1749,100,0,0.6692808451108752,0.8157656703667268,0.9553081706085831,0.763033782378527
superconducting,1800,1803,100,0,0.6767889942988563,0.841956994986177,0.9669394550691829,0.7740576814102045
superconducting,1850,1848,100,0,0.6074230392853852,0.8407532102916314,0.9638507261580306,0.8143868913154753
superconducting,1900,1902,100,0,0.6888869151245993,0.8281943089366596,0.9614754244257404,0.7978254748787599
